sample_id,trait,top_fraction,top_label,pathway,n_top,n_background,top_mean,background_mean,effect,p_value,fdr,direction
20_00331_LI_SING,HDL_CE,0.2,top20,Antigen_presentation,767,3067,0.539060806036652,-0.134809141907437,0.673869947944089,1.05916997772212e-204,4.23667991088846e-204,higher_in_top20
20_00331_LI_SING,HDL_CE,0.5,top50,Angiogenesis_endothelium,1917,1917,0.172593867825777,-0.172593867825777,0.345187735651554,1.030675041339e-203,1.2368100496068e-203,higher_in_top50
20_00331_LI_SING,HDL_CE,0.2,top20,Angiogenesis_endothelium,767,3067,0.402979949115847,-0.100777835334808,0.503757784450655,1.21765794464427e-203,3.65297383393282e-203,higher_in_top20
20_00331_LI_SING,HDL_CE,0.2,top20,ECM_remodeling,767,3067,0.621212336584283,-0.155353720952117,0.7765660575364,7.19344566958938e-203,1.72642696070145e-202,higher_in_top20
20_00331_LI_SING,HDL_CE,0.2,top20,M2_macrophage_immunosuppression,767,3067,0.405734555336435,-0.101466711425838,0.507201266762273,1.57022631474071e-197,3.14045262948141e-197,higher_in_top20
20_00331_LI_SING,HDL_CE,0.5,top50,TNFa_NFkB_inflammation,1917,1917,0.151504395968973,-0.151504395968973,0.303008791937946,4.40506718241835e-193,4.80552783536548e-193,higher_in_top50
20_00331_LI_SING,HDL_CE,0.2,top20,TNFa_NFkB_inflammation,767,3067,0.329372044745529,-0.0823698592500233,0.411741903995553,8.36799931907524e-192,1.43451416898433e-191,higher_in_top20
20_00331_LI_SING,HDL_CE,0.2,top20,Oxidative_stress_response,767,3067,0.422835503538596,-0.105743342423901,0.528578845962497,1.94662594378173e-179,2.9199389156726e-179,higher_in_top20
20_00331_LI_SING,HDL_CE,0.2,top20,IFNg_response,767,3067,0.370482111851588,-0.092650727026465,0.463132838878053,9.34969313803839e-174,1.24662575173845e-173,higher_in_top20
20_00331_LI_SING,HDL_CE,0.2,top20,Hypoxia_glycolysis,767,3067,0.340357010412605,-0.0851169960829696,0.425474006495575,1.34177686606306e-155,1.61013223927567e-155,higher_in_top20
20_00331_LI_SING,HDL_CE,0.1,top10,Myeloid_phagocytosis_complement,384,3450,0.60775469514849,-0.0676457399817448,0.675400435130235,3.51201487893761e-126,4.21441785472513e-125,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,Angiogenesis_endothelium,384,3450,0.520506519020538,-0.0579346386388078,0.578441157659346,9.87163753285205e-126,5.92298251971123e-125,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,TGFb_CAF_activation,384,3450,0.537520441774865,-0.0598283622149415,0.597348803989806,6.10726311918243e-124,2.44290524767297e-123,higher_in_top10
20_00331_LI_SING,HDL_CE,0.2,top20,Treg_checkpoint,767,3067,0.173468884245936,-0.0433813610096621,0.216850245255599,1.7261103878277e-120,1.88302951399386e-120,higher_in_top20
20_00331_LI_SING,HDL_CE,0.1,top10,TNFa_NFkB_inflammation,384,3450,0.392091751346627,-0.0436415166716245,0.435733268018251,1.88075327083765e-109,5.64225981251294e-109,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,Antigen_presentation,384,3450,0.583393733538472,-0.0649342590373249,0.648327992575797,5.58023816266994e-107,1.33925715904079e-106,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,ECM_remodeling,384,3450,0.659405753563766,-0.0733947273531839,0.73280048091695,8.18296909383903e-106,1.63659381876781e-105,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,M2_macrophage_immunosuppression,384,3450,0.464962768145034,-0.0517523776717947,0.516715145816829,3.61149650520885e-104,6.19113686607232e-104,higher_in_top10
20_00331_LI_SING,HDL_CE,0.5,top50,Treg_checkpoint,1917,1917,0.0833708369999575,-0.0833708369999575,0.166741673999915,1.8469299355043e-99,1.8469299355043e-99,higher_in_top50
20_00331_LI_SING,HDL_CE,0.1,top10,IFNg_response,384,3450,0.430672384674889,-0.0479357089029441,0.478608093577833,1.19730334417312e-96,1.79595501625967e-96,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,Treg_checkpoint,384,3450,0.234371548563322,-0.0260865723618305,0.260458120925152,4.58105082593476e-80,6.10806776791302e-80,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,Oxidative_stress_response,384,3450,0.412463901227876,-0.0459090255279723,0.458372926755849,5.35359817354068e-79,6.42431780824881e-79,higher_in_top10
20_00331_LI_SING,HDL_CE,0.2,top20,Epithelial_repair_stemness,767,3067,0.230636116774509,-0.0576778290075145,0.288313945782023,1.98152952105606e-75,1.98152952105606e-75,higher_in_top20
20_00331_LI_SING,HDL_CE,0.1,top10,Hypoxia_glycolysis,384,3450,0.346095927565284,-0.0385219815029186,0.384617909068203,4.49333874891847e-73,4.90182408972924e-73,higher_in_top10
20_00331_LI_SING,HDL_CE,0.1,top10,Epithelial_repair_stemness,384,3450,0.184259684135868,-0.0205089039733832,0.204768588109251,4.04894222333903e-24,4.04894222333903e-24,higher_in_top10
20_00331_LI_SING,HDL_L,0.5,top50,ECM_remodeling,1917,1917,0.34410369114669,-0.344103691146689,0.688207382293379,1.17631484353571e-308,1.87787190063889e-308,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,Oxidative_stress_response,1917,1917,0.264291924232264,-0.264291924232264,0.528583848464529,9.61356212068992e-299,5.76813727241395e-298,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,Antigen_presentation,1917,1917,0.320499505981882,-0.320499505981881,0.640999011963763,2.71967885631074e-298,1.08787154252429e-297,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,Myeloid_phagocytosis_complement,1917,1917,0.249457151984075,-0.249457151984075,0.49891430396815,2.05358376271266e-287,6.16075128813799e-287,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,TGFb_CAF_activation,1917,1917,0.214992000849257,-0.214992000849257,0.429984001698514,3.52889045344376e-264,8.46933708826501e-264,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,Hypoxia_glycolysis,1917,1917,0.214433350463058,-0.214433350463057,0.428866700926115,1.34056199871083e-263,2.68112399742167e-263,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,IFNg_response,1917,1917,0.204552515796985,-0.204552515796985,0.40910503159397,5.78959553653143e-255,9.92502091976816e-255,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,M2_macrophage_immunosuppression,1917,1917,0.18309800861872,-0.18309800861872,0.36619601723744,1.56578846074199e-243,2.34868269111299e-243,higher_in_top50
20_00331_LI_SING,HDL_L,0.2,top20,TGFb_CAF_activation,767,3067,0.455605487994344,-0.113938509713616,0.569543997707961,9.59273173559265e-222,1.15112780827112e-220,higher_in_top20
20_00331_LI_SING,HDL_L,0.5,top50,Epithelial_repair_stemness,1917,1917,0.205774875673302,-0.205774875673302,0.411549751346604,2.56697019759567e-220,3.42262693012756e-220,higher_in_top50
20_00331_LI_SING,HDL_L,0.2,top20,Myeloid_phagocytosis_complement,767,3067,0.508022452172288,-0.127047023415763,0.635069475588051,6.13600506008918e-214,3.68160303605351e-213,higher_in_top20
20_00331_LI_SING,HDL_L,0.5,top50,Angiogenesis_endothelium,1917,1917,0.175350290525307,-0.175350290525307,0.350700581050613,8.57746408412256e-211,1.02929569009471e-210,higher_in_top50
20_00331_LI_SING,HDL_L,0.5,top50,TNFa_NFkB_inflammation,1917,1917,0.155624541719294,-0.155624541719294,0.311249083438588,4.17052610704582e-203,4.54966484404998e-203,higher_in_top50
20_00331_LI_SING,HDL_L,0.2,top20,Angiogenesis_endothelium,767,3067,0.3967865636915,-0.0992289841380438,0.496015547829543,1.14222755352217e-200,4.56891021408867e-200,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,Antigen_presentation,767,3067,0.53112100805307,-0.132823545215749,0.66394455326882,5.32509855069323e-199,1.59752956520797e-198,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,ECM_remodeling,767,3067,0.596347087088462,-0.149135381740088,0.74548246882855,5.24982177013291e-192,1.2599572248319e-191,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,M2_macrophage_immunosuppression,767,3067,0.39582091886383,-0.0989874942186359,0.494808413082466,3.892973220466e-189,7.785946440932e-189,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,TNFa_NFkB_inflammation,767,3067,0.317376111182152,-0.0793698980360974,0.39674600921825,2.92637785806927e-183,5.01664775669017e-183,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,Oxidative_stress_response,767,3067,0.429015213561839,-0.107288773655667,0.536303987217506,3.12961953631004e-182,4.69442930446506e-182,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,IFNg_response,767,3067,0.367696283962349,-0.0919540429733033,0.459650326935652,2.12704973172327e-169,2.83606630896436e-169,higher_in_top20
20_00331_LI_SING,HDL_L,0.2,top20,Hypoxia_glycolysis,767,3067,0.344649589895756,-0.0861904908542696,0.430840080750026,1.97048943412764e-156,2.36458732095317e-156,higher_in_top20
20_00331_LI_SING,HDL_L,0.1,top10,TGFb_CAF_activation,384,3450,0.541555673257488,-0.0602775010234423,0.60183317428093,6.22750154487518e-124,7.47300185385022e-123,higher_in_top10
20_00331_LI_SING,HDL_L,0.2,top20,Treg_checkpoint,767,3067,0.173608154761355,-0.0434161899908572,0.217024344752212,4.14803101227704e-119,4.52512474066586e-119,higher_in_top20
20_00331_LI_SING,HDL_L,0.1,top10,Myeloid_phagocytosis_complement,384,3450,0.572353603955928,-0.0637054446142248,0.636059048570153,1.06066113516132e-116,6.36396681096789e-116,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,Angiogenesis_endothelium,384,3450,0.492722176136438,-0.0548421204743165,0.547564296610754,4.10366134385457e-113,1.64146453754183e-112,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,TNFa_NFkB_inflammation,384,3450,0.371278699643343,-0.0413249335255199,0.412603633168863,1.61677261112114e-104,4.85031783336343e-104,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,Antigen_presentation,384,3450,0.568282215847987,-0.0632522814161231,0.631534497264109,1.27546702200042e-101,3.06112085280101e-101,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,ECM_remodeling,384,3450,0.646245906644061,-0.0719299791742951,0.718175885818356,2.46750114404925e-101,4.93500228809849e-101,higher_in_top10
20_00331_LI_SING,HDL_L,0.5,top50,Treg_checkpoint,1917,1917,0.0815458624686092,-0.0815458624686091,0.163091724937218,5.30618963069025e-97,5.30618963069025e-97,higher_in_top50
20_00331_LI_SING,HDL_L,0.1,top10,M2_macrophage_immunosuppression,384,3450,0.438048065398862,-0.048756654235699,0.486804719634561,1.66099386736506e-94,2.84741805834011e-94,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,IFNg_response,384,3450,0.413902017440589,-0.0460690941151265,0.459971111555716,1.5887375070933e-89,2.38310626063995e-89,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,Oxidative_stress_response,384,3450,0.4154735920745,-0.0462440172048139,0.461717609279314,7.67261634295617e-81,1.02301551239416e-80,higher_in_top10
20_00331_LI_SING,HDL_L,0.2,top20,Epithelial_repair_stemness,767,3067,0.236479874714528,-0.0591392448340534,0.295619119548581,8.93436805433078e-79,8.93436805433078e-79,higher_in_top20
20_00331_LI_SING,HDL_L,0.1,top10,Treg_checkpoint,384,3450,0.234071245860328,-0.0260531473653235,0.260124393225652,5.27026575475482e-77,6.32431890570578e-77,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,Hypoxia_glycolysis,384,3450,0.342373760905891,-0.0381076881703949,0.380481449076286,7.27330875283169e-72,7.93451863945275e-72,higher_in_top10
20_00331_LI_SING,HDL_L,0.1,top10,Epithelial_repair_stemness,384,3450,0.175273917807456,-0.0195087491124817,0.194782666919937,1.14289548865349e-22,1.14289548865349e-22,higher_in_top10
20_00331_LI_SING,HDL_P,0.5,top50,ECM_remodeling,1917,1917,0.338635339053751,-0.33863533905375,0.677270678107501,2.1197650463193e-299,1.49475410941197e-298,higher_in_top50
