time,hazard,n_censor,n_event,group
4722,0.00941954563159434,3,0,Q3
4723,0.00941954563159434,1,0,Q3
4728,0.00941954563159434,1,0,Q3
4729,0.00941954563159434,1,0,Q3
4731,0.00941954563159434,1,0,Q3
4733,0.00941954563159434,1,0,Q3
4734,0.00941954563159434,1,0,Q3
4735,0.00941954563159434,1,0,Q3
4739,0.00941954563159434,4,0,Q3
4740,0.00941954563159434,2,0,Q3
4742,0.00941954563159434,1,0,Q3
4745,0.00941954563159434,1,0,Q3
4746,0.00941954563159434,3,0,Q3
4747,0.00941954563159434,1,0,Q3
4748,0.00941954563159434,1,0,Q3
4750,0.00941954563159434,2,0,Q3
4752,0.00941954563159434,1,0,Q3
4754,0.00944103552597229,0,1,Q3
4758,0.00944103552597229,2,0,Q3
4760,0.00944103552597229,1,0,Q3
4763,0.00944103552597229,2,0,Q3
4765,0.00944103552597229,1,0,Q3
4768,0.00944103552597229,1,0,Q3
4769,0.00944103552597229,1,0,Q3
4771,0.00946252957749441,1,1,Q3
4773,0.00948402455304464,0,1,Q3
4774,0.00948402455304464,1,0,Q3
4776,0.00948402455304464,1,0,Q3
4778,0.00948402455304464,2,0,Q3
4780,0.00948402455304464,1,0,Q3
4781,0.00948402455304464,2,0,Q3
4782,0.00948402455304464,1,0,Q3
4784,0.00948402455304464,1,0,Q3
4785,0.00948402455304464,3,0,Q3
4787,0.00948402455304464,1,0,Q3
4789,0.00948402455304464,1,0,Q3
4790,0.00948402455304464,2,0,Q3
4791,0.00948402455304464,6,0,Q3
4792,0.00948402455304464,6,0,Q3
4794,0.00948402455304464,1,0,Q3
4795,0.00948402455304464,15,0,Q3
4796,0.00948402455304464,7,0,Q3
4797,0.00948402455304464,14,0,Q3
4798,0.00948402455304464,42,0,Q3
4799,0.00948402455304464,23,0,Q3
4800,0.00948402455304464,1,0,Q3
4801,0.00948402455304464,5,0,Q3
4802,0.00948402455304464,68,0,Q3
4803,0.00948402455304464,31,0,Q3
4804,0.00948402455304464,43,0,Q3
4805,0.00948402455304464,63,0,Q3
4806,0.00948402455304464,54,0,Q3
4808,0.00948402455304464,29,0,Q3
4809,0.00948402455304464,44,0,Q3
4810,0.00948402455304464,49,0,Q3
4811,0.00948402455304464,59,0,Q3
4812,0.00950578947017553,40,1,Q3
4813,0.00950578947017553,64,0,Q3
4815,0.00950578947017553,32,0,Q3
4816,0.00950578947017553,47,0,Q3
4817,0.00950578947017553,34,0,Q3
4818,0.00950578947017553,60,0,Q3
4819,0.00950578947017553,46,0,Q3
4820,0.00950578947017553,57,0,Q3
4821,0.00950578947017553,2,0,Q3
4822,0.00950578947017553,53,0,Q3
4823,0.00950578947017553,61,0,Q3
4824,0.00950578947017553,52,0,Q3
4825,0.00950578947017553,46,0,Q3
4826,0.00950578947017553,69,0,Q3
4827,0.00950578947017553,46,0,Q3
4828,0.00950578947017553,1,0,Q3
4829,0.00950578947017553,55,0,Q3
4830,0.00950578947017553,64,0,Q3
4831,0.00950578947017553,100,0,Q3
4832,0.00950578947017553,67,0,Q3
4833,0.00950578947017553,75,0,Q3
4834,0.00950578947017553,60,0,Q3
4835,0.00950578947017553,1,0,Q3
4836,0.00950578947017553,55,0,Q3
4837,0.00950578947017553,57,0,Q3
4838,0.00950578947017553,59,0,Q3
4839,0.00950578947017553,97,0,Q3
4840,0.00950578947017553,45,0,Q3
4843,0.00950578947017553,63,0,Q3
4844,0.00950578947017553,72,0,Q3
4845,0.00950578947017553,78,0,Q3
4846,0.00950578947017553,63,0,Q3
4847,0.00950578947017553,69,0,Q3
4848,0.00952843721842416,65,1,Q3
4850,0.00952843721842416,36,0,Q3
4851,0.00952843721842416,54,0,Q3
4852,0.00952843721842416,55,0,Q3
4853,0.0095511937125596,55,1,Q3
4854,0.0095511937125596,74,0,Q3
4855,0.0095511937125596,72,0,Q3
4857,0.0095511937125596,22,0,Q3
4858,0.0095511937125596,48,0,Q3
4859,0.0095511937125596,60,0,Q3
4860,0.0095511937125596,63,0,Q3
4861,0.0095511937125596,69,0,Q3
4862,0.0095511937125596,66,0,Q3
4863,0.0095511937125596,1,0,Q3
4864,0.0095511937125596,55,0,Q3
4865,0.0095511937125596,62,0,Q3
4866,0.0095511937125596,37,0,Q3
4867,0.0095511937125596,61,0,Q3
4868,0.0095511937125596,65,0,Q3
4870,0.0095511937125596,1,0,Q3
4871,0.0095511937125596,40,0,Q3
4872,0.0095511937125596,57,0,Q3
4873,0.0095511937125596,48,0,Q3
4874,0.0095511937125596,72,0,Q3
4875,0.0095511937125596,48,0,Q3
4876,0.0095511937125596,37,0,Q3
4878,0.0095511937125596,28,0,Q3
4879,0.0095511937125596,35,0,Q3
4880,0.0095511937125596,40,0,Q3
4881,0.00957459839115585,20,1,Q3
4882,0.00957459839115585,28,0,Q3
4883,0.00957459839115585,22,0,Q3
4885,0.00957459839115585,24,0,Q3
4886,0.00957459839115585,37,0,Q3
4887,0.00957459839115585,27,0,Q3
4888,0.00957459839115585,27,0,Q3
4889,0.00957459839115585,24,0,Q3
4890,0.00957459839115585,39,0,Q3
4892,0.00957459839115585,13,0,Q3
4893,0.00957459839115585,25,0,Q3
4894,0.00957459839115585,45,0,Q3
4895,0.00957459839115585,30,0,Q3
4896,0.00957459839115585,22,0,Q3
4899,0.00957459839115585,1,0,Q3
4900,0.00957459839115585,2,0,Q3
4901,0.00957459839115585,48,0,Q3
4902,0.00957459839115585,57,0,Q3
4903,0.00957459839115585,63,0,Q3
4904,0.00957459839115585,64,0,Q3
4906,0.00957459839115585,45,0,Q3
4907,0.00957459839115585,80,0,Q3
4908,0.00957459839115585,48,0,Q3
4909,0.00957459839115585,52,0,Q3
4910,0.00957459839115585,52,0,Q3
4911,0.00957459839115585,78,0,Q3
4913,0.00957459839115585,32,0,Q3
4914,0.00957459839115585,60,0,Q3
4915,0.00957459839115585,56,0,Q3
4916,0.00957459839115585,64,0,Q3
4917,0.00957459839115585,58,0,Q3
4918,0.00957459839115585,70,0,Q3
4919,0.00957459839115585,1,0,Q3
4920,0.00957459839115585,46,0,Q3
4921,0.00957459839115585,51,0,Q3
4922,0.00957459839115585,40,0,Q3
4923,0.00957459839115585,91,0,Q3
4924,0.00957459839115585,63,0,Q3
4925,0.00957459839115585,60,0,Q3
4926,0.00957459839115585,4,0,Q3
4927,0.00957459839115585,56,0,Q3
4928,0.00957459839115585,76,0,Q3
4929,0.00957459839115585,68,0,Q3
4930,0.00957459839115585,54,0,Q3
4931,0.00957459839115585,42,0,Q3
4932,0.00957459839115585,55,0,Q3
4933,0.00957459839115585,1,0,Q3
4934,0.00957459839115585,29,0,Q3
4935,0.00957459839115585,39,0,Q3
4936,0.00957459839115585,43,0,Q3
4937,0.00957459839115585,23,0,Q3
4938,0.00957459839115585,42,0,Q3
4939,0.00957459839115585,35,0,Q3
4941,0.00957459839115585,9,0,Q3
4942,0.00957459839115585,30,0,Q3
4943,0.00957459839115585,73,0,Q3
4944,0.00957459839115585,58,0,Q3
4945,0.00957459839115585,50,0,Q3
4946,0.00959942861450503,49,1,Q3
4947,0.00959942861450503,1,0,Q3
4948,0.00959942861450503,34,0,Q3
4949,0.00959942861450503,31,0,Q3
4950,0.00959942861450503,40,0,Q3
4951,0.00959942861450503,56,0,Q3
4952,0.00959942861450503,53,0,Q3
4953,0.00959942861450503,41,0,Q3
4954,0.00959942861450503,1,0,Q3
4955,0.00959942861450503,47,0,Q3
4956,0.00959942861450503,53,0,Q3
4957,0.00959942861450503,46,0,Q3
4958,0.00959942861450503,64,0,Q3
4959,0.00959942861450503,59,0,Q3
4960,0.00959942861450503,34,0,Q3
4962,0.00959942861450503,36,0,Q3
4963,0.00959942861450503,40,0,Q3
4964,0.00959942861450503,31,0,Q3
4965,0.00959942861450503,23,0,Q3
4966,0.00959942861450503,45,0,Q3
4967,0.00959942861450503,44,0,Q3
4968,0.00959942861450503,1,0,Q3
4969,0.00959942861450503,36,0,Q3
4970,0.00959942861450503,42,0,Q3
4971,0.00959942861450503,54,0,Q3
4972,0.00959942861450503,48,0,Q3
4973,0.00959942861450503,45,0,Q3
4974,0.00959942861450503,18,0,Q3
4976,0.00959942861450503,15,0,Q3
4977,0.00959942861450503,39,0,Q3
4978,0.00959942861450503,22,0,Q3
4979,0.00959942861450503,10,0,Q3
4980,0.00959942861450503,18,0,Q3
4981,0.00959942861450503,36,0,Q3
4983,0.00959942861450503,24,0,Q3
4984,0.00959942861450503,18,0,Q3
4985,0.00959942861450503,28,0,Q3
4986,0.00959942861450503,21,0,Q3
4987,0.00959942861450503,15,0,Q3
4988,0.00959942861450503,31,0,Q3
4990,0.00959942861450503,1,0,Q3
4991,0.00959942861450503,1,0,Q3
4996,0.00959942861450503,1,0,Q3
4999,0.00959942861450503,1,0,Q3
5001,0.00959942861450503,3,0,Q3
5004,0.00959942861450503,37,0,Q3
5005,0.00959942861450503,34,0,Q3
5006,0.00959942861450503,42,0,Q3
5007,0.00959942861450503,26,0,Q3
5008,0.00959942861450503,49,0,Q3
5009,0.00959942861450503,21,0,Q3
5011,0.00959942861450503,60,0,Q3
5012,0.00959942861450503,46,0,Q3
5013,0.00959942861450503,50,0,Q3
5014,0.00959942861450503,52,0,Q3
5015,0.00959942861450503,69,0,Q3
5016,0.00962544961345268,54,1,Q3
5017,0.00962544961345268,1,0,Q3
5018,0.00962544961345268,31,0,Q3
5019,0.00962544961345268,25,0,Q3
5020,0.00962544961345268,32,0,Q3
5021,0.00962544961345268,36,0,Q3
5022,0.00962544961345268,39,0,Q3
5023,0.00962544961345268,22,0,Q3
5025,0.00962544961345268,37,0,Q3
5026,0.00962544961345268,66,0,Q3
5027,0.00962544961345268,47,0,Q3
5028,0.00962544961345268,43,0,Q3
5029,0.00962544961345268,75,0,Q3
5030,0.00962544961345268,57,0,Q3
5031,0.00962544961345268,4,0,Q3
5032,0.00962544961345268,49,0,Q3
5033,0.00962544961345268,55,0,Q3
5034,0.00962544961345268,57,0,Q3
5035,0.00962544961345268,50,0,Q3
5036,0.00962544961345268,64,0,Q3
5037,0.00962544961345268,56,0,Q3
5038,0.00962544961345268,2,0,Q3
5039,0.00962544961345268,66,0,Q3
5040,0.00962544961345268,59,0,Q3
5041,0.00962544961345268,55,0,Q3
5042,0.00962544961345268,67,0,Q3
5043,0.00962544961345268,68,0,Q3
5044,0.00962544961345268,81,0,Q3
5046,0.00962544961345268,33,0,Q3
5047,0.00962544961345268,60,0,Q3
5048,0.00962544961345268,46,0,Q3
5049,0.00962544961345268,43,0,Q3
5050,0.00962544961345268,48,0,Q3
5051,0.00962544961345268,53,0,Q3
5053,0.00962544961345268,40,0,Q3
5054,0.00962544961345268,47,0,Q3
5055,0.00962544961345268,49,0,Q3
5056,0.00962544961345268,48,0,Q3
5057,0.00962544961345268,74,0,Q3
5058,0.00962544961345268,43,0,Q3
5060,0.00962544961345268,49,0,Q3
5061,0.00962544961345268,57,0,Q3
5062,0.00962544961345268,59,0,Q3
5063,0.00962544961345268,75,0,Q3
5064,0.00962544961345268,45,0,Q3
5065,0.00962544961345268,55,0,Q3
5066,0.00962544961345268,2,0,Q3
5067,0.00962544961345268,50,0,Q3
5068,0.00962544961345268,56,0,Q3
5069,0.00962544961345268,46,0,Q3
5070,0.00962544961345268,39,0,Q3
5071,0.00962544961345268,39,0,Q3
5072,0.00962544961345268,59,0,Q3
5074,0.00962544961345268,50,0,Q3
5075,0.00962544961345268,51,0,Q3
5076,0.00962544961345268,60,0,Q3
5077,0.00962544961345268,55,0,Q3
5078,0.00962544961345268,46,0,Q3
5079,0.00962544961345268,58,0,Q3
5080,0.00962544961345268,1,0,Q3
5081,0.00962544961345268,37,0,Q3
5082,0.00962544961345268,48,0,Q3
5083,0.00962544961345268,71,0,Q3
5084,0.00962544961345268,42,0,Q3
5085,0.00962544961345268,56,0,Q3
5086,0.00962544961345268,69,0,Q3
5088,0.00962544961345268,26,0,Q3
5089,0.00962544961345268,34,0,Q3
5090,0.00962544961345268,42,0,Q3
5091,0.00962544961345268,24,0,Q3
5092,0.00962544961345268,22,0,Q3
5093,0.00962544961345268,33,0,Q3
5095,0.00962544961345268,22,0,Q3
5096,0.00962544961345268,40,0,Q3
5097,0.00962544961345268,40,0,Q3
5098,0.00962544961345268,55,0,Q3
