time,hazard,n_censor,n_event,group
1021,0.000585354278578705,0,1,Q2
1029,0.000601636466085332,0,1,Q2
1064,0.000617918918706016,0,1,Q2
1086,0.000634201636449281,0,1,Q2
1088,0.00065048461932376,0,1,Q2
1119,0.000666767867337977,0,1,Q2
1136,0.000683051380500676,0,1,Q2
1144,0.000699335158820606,0,1,Q2
1168,0.000715619202306178,0,1,Q2
1175,0.000731903510966142,0,1,Q2
1176,0.000748188084809243,0,1,Q2
1180,0.000764472923844007,0,1,Q2
1192,0.000780758028078962,0,1,Q2
1193,0.000797043397522967,0,1,Q2
1199,0.000813329032184438,0,1,Q2
1201,0.000829614932072124,0,1,Q2
1215,0.000845901097194666,0,1,Q2
1218,0.000862187527560701,0,1,Q2
1225,0.000894761184057815,0,2,Q2
1234,0.000911048410206174,0,1,Q2
1243,0.0009273359016327,0,1,Q2
1246,0.000943623658345813,0,1,Q2
1252,0.000959911680354266,0,1,Q2
1290,0.000959911680354266,153.389372167256,0,Q2
1294,0.000976240765071156,0,1,Q2
1309,0.000992570116431407,0,1,Q2
1319,0.00100889973444362,0,1,Q2
1321,0.00102522961911672,0,1,Q2
1322,0.00104155977045931,0,1,Q2
1329,0.00105789018847998,0,1,Q2
1339,0.00107422087318768,0,1,Q2
1360,0.00109055182459099,0,1,Q2
1372,0.00110688304269852,0,1,Q2
1374,0.0011232145275192,0,1,Q2
1376,0.00113954627906152,0,1,Q2
1392,0.00115587829733442,0,1,Q2
1393,0.0011722105823465,0,1,Q2
1411,0.00118854313410636,0,1,Q2
1440,0.00118854313410636,154.500718077664,0,Q2
1460,0.00120491727164866,0,1,Q2
1462,0.00122129167730773,0,1,Q2
1491,0.00123766635109235,0,1,Q2
1498,0.0012540412930113,0,1,Q2
1505,0.00127041650307337,0,1,Q2
1518,0.00128679198128733,0,1,Q2
1519,0.00128679198128733,155.082564235456,0,Q2
1536,0.00130320942127333,0,1,Q2
1553,0.0013196271307961,0,1,Q2
1554,0.00133604510986447,0,1,Q2
1559,0.0013524633584873,0,1,Q2
1577,0.00136888187667345,0,1,Q2
1607,0.00138530066443176,0,1,Q2
1621,0.00140171972177109,0,1,Q2
1623,0.0014181390487003,0,1,Q2
1642,0.00143455864522833,0,1,Q2
1652,0.00146739864711577,0,2,Q2
1664,0.00148381905249298,0,1,Q2
1668,0.00150023972750434,0,1,Q2
1669,0.00151666067215881,0,1,Q2
1695,0.00153308188646501,0,1,Q2
1709,0.00154950337043204,0,1,Q2
1716,0.00156592512406851,0,1,Q2
1747,0.00158234714738352,0,1,Q2
1771,0.0015987694403857,0,1,Q2
1787,0.00161519200308412,0,1,Q2
1830,0.00163161483548743,0,1,Q2
1842,0.00164803793760459,0,1,Q2
1871,0.00166446130944447,0,1,Q2
1878,0.00168088495101591,0,1,Q2
1880,0.00169730886232779,0,1,Q2
1890,0.00171373304338897,0,1,Q2
1896,0.0017301574942084,0,1,Q2
1900,0.00174658221479475,0,1,Q2
1901,0.00176300720515697,0,1,Q2
1904,0.00177943246530392,0,1,Q2
1915,0.00179585799524449,0,1,Q2
1918,0.00181228379498762,0,1,Q2
1935,0.00182870986454198,0,1,Q2
1955,0.00184513620391653,0,1,Q2
1997,0.00186156281312014,0,1,Q2
2019,0.00187798969216178,0,1,Q2
2022,0.00189441684105009,0,1,Q2
2058,0.00191084425979406,0,1,Q2
2074,0.00194369990688443,0,2,Q2
2080,0.00196012813524856,0,1,Q2
2095,0.00197655663350392,0,1,Q2
2107,0.00199298540165927,0,1,Q2
2126,0.00200941443972348,0,1,Q2
2146,0.00202584374770531,0,1,Q2
2158,0.00204227332561373,0,1,Q2
2176,0.00205870317345772,0,1,Q2
2177,0.00209156367898737,0,2,Q2
2181,0.00210799433669098,0,1,Q2
2191,0.00212442526436543,0,1,Q2
2192,0.0021408564620197,0,1,Q2
2202,0.00215728792966267,0,1,Q2
2227,0.00217371966730319,0,1,Q2
2232,0.00219015167495027,0,1,Q2
2233,0.00220658395261255,0,1,Q2
2240,0.00222301650029902,0,1,Q2
2295,0.00223944931801855,0,1,Q2
2298,0.00225588240578001,0,1,Q2
2300,0.00228874939146424,0,2,Q2
2311,0.00230518328940488,0,1,Q2
2323,0.00232161745742284,0,1,Q2
2344,0.00232161745742284,158.337696573258,0,Q2
2345,0.00233809477264983,0,1,Q2
2356,0.00233809477264983,158.361088377183,0,Q2
2380,0.00233809477264983,158.408933490714,0,Q2
2384,0.00235465881716114,0,1,Q2
2391,0.00237122313604457,0,1,Q2
2395,0.00238778772930909,0,1,Q2
2433,0.00240435259696402,0,1,Q2
2438,0.00242091773901833,0,1,Q2
2448,0.00243748315548101,0,1,Q2
2453,0.00245404884636137,0,1,Q2
2459,0.00247061481166839,0,1,Q2
2465,0.00248718105141105,0,1,Q2
2467,0.00250374756559867,0,1,Q2
2478,0.00252031435424023,0,1,Q2
2479,0.00253688141734482,0,1,Q2
2481,0.00255344875492154,0,1,Q2
2485,0.00257001636697948,0,1,Q2
2495,0.00258658425352773,0,1,Q2
2543,0.0026031524145754,0,1,Q2
2559,0.00261972085013158,0,1,Q2
2570,0.00263628956020525,0,1,Q2
2593,0.00265285854480573,0,1,Q2
2598,0.00266942780394202,0,1,Q2
2624,0.00268599733762309,0,1,Q2
2631,0.00270256714585827,0,1,Q2
2637,0.00271913722865654,0,1,Q2
2641,0.002735707586027,0,1,Q2
2642,0.00275227821797865,0,1,Q2
2643,0.0027688491245208,0,1,Q2
2644,0.00278542030566245,0,1,Q2
2649,0.00280199176141269,0,1,Q2
2654,0.00281856349178062,0,1,Q2
2668,0.00283513549677536,0,1,Q2
2671,0.002851707776406,0,1,Q2
2679,0.00286828033068164,0,1,Q2
2688,0.00288485315961138,0,1,Q2
2705,0.00290142626320434,0,1,Q2
2746,0.00291799964146961,0,1,Q2
2749,0.00293457329441631,0,1,Q2
2750,0.00296772142439026,0,2,Q2
2772,0.00298429590143584,0,1,Q2
2779,0.00300087065319927,0,1,Q2
2782,0.00300087065319927,158.762477175807,0,Q2
2785,0.00301748941182447,0,1,Q2
2787,0.00303410844663729,0,1,Q2
2799,0.00305072775764702,0,1,Q2
2818,0.00306734734486284,0,1,Q2
2820,0.00308396720829392,0,1,Q2
2831,0.00310058734794946,0,1,Q2
2852,0.00311720776383863,0,1,Q2
2856,0.00313382845597062,0,1,Q2
2861,0.00315044942435472,0,1,Q2
2880,0.00316707066899999,0,1,Q2
2883,0.00318369218991564,0,1,Q2
2889,0.00320031398711072,0,1,Q2
2894,0.00321693606059454,0,1,Q2
2961,0.00323355841037638,0,1,Q2
2966,0.00325018103646523,0,1,Q2
2972,0.00326680393887047,0,1,Q2
2975,0.00328342711760108,0,1,Q2
2981,0.00330005057266635,0,1,Q2
2995,0.00331667430407559,0,1,Q2
3005,0.00333329831183776,0,1,Q2
3024,0.00334992259596227,0,1,Q2
3031,0.00336654715645819,0,1,Q2
3033,0.00338317199333461,0,1,Q2
3036,0.00339979710660082,0,1,Q2
3038,0.00341642249626602,0,1,Q2
3044,0.00343304816233951,0,1,Q2
3046,0.00346630032374768,0,2,Q2
3063,0.00348292681910085,0,1,Q2
3069,0.00349955359089885,0,1,Q2
3072,0.00351618063915099,0,1,Q2
3088,0.00353280796386645,0,1,Q2
3095,0.00354943556505456,0,1,Q2
3111,0.00356606344272427,0,1,Q2
3120,0.00358269159688501,0,1,Q2
3144,0.00359932002754585,0,1,Q2
3158,0.003615948734716,0,1,Q2
3176,0.00363257771840454,0,1,Q2
3205,0.00364920697862077,0,1,Q2
3236,0.00366583651537401,0,1,Q2
3247,0.00368246632867323,0,1,Q2
3270,0.00369909641852774,0,1,Q2
3283,0.00371572678494674,0,1,Q2
3302,0.00373235742793942,0,1,Q2
3314,0.0037489883475151,0,1,Q2
3315,0.0037489883475151,149.943851108229,0,Q2
3316,0.00376566112133916,0,1,Q2
3326,0.00378233417314936,0,1,Q2
3331,0.00379900750295473,0,1,Q2
3334,0.00381568111076478,0,1,Q2
3343,0.00383235499658855,0,1,Q2
3355,0.00384902916043554,0,1,Q2
3385,0.00386570360231479,0,1,Q2
3388,0.0038823783222358,0,1,Q2
3392,0.00389905332020762,0,1,Q2
3415,0.00391572859623974,0,1,Q2
3422,0.00393240415034122,0,1,Q2
3434,0.00394907998252145,0,1,Q2
3451,0.00396575609278968,0,1,Q2
3471,0.00398243248115521,0,1,Q2
3485,0.00399910914762742,0,1,Q2
3488,0.00401578609221536,0,1,Q2
3500,0.00403246331492842,0,1,Q2
3566,0.00404914081577599,0,1,Q2
3583,0.00406581859476711,0,1,Q2
3606,0.0040824966519113,0,1,Q2
3614,0.00409917498721761,0,1,Q2
3619,0.00411585360069554,0,1,Q2
3629,0.00411585360069554,137.165450380608,0,Q2
3656,0.00413257073727909,0,1,Q2
3663,0.00414928815332986,0,1,Q2
3669,0.00418272382387099,0,2,Q2
3684,0.00419944207837992,0,1,Q2
3690,0.00421616061239344,0,1,Q2
3692,0.00423287942592113,0,1,Q2
3741,0.00424959851897222,0,1,Q2
3752,0.00426631789155605,0,1,Q2
3765,0.00428303754368198,0,1,Q2
3767,0.00429975747535935,0,1,Q2
3771,0.0043164776865974,0,1,Q2
3775,0.00433319817740569,0,1,Q2
3777,0.00434991894779348,0,1,Q2
3780,0.00436663999776999,0,1,Q2
3783,0.0043833613273448,0,1,Q2
3817,0.00440008293652715,0,1,Q2
3828,0.00441680482532638,0,1,Q2
3830,0.00443352699375186,0,1,Q2
3837,0.00446697216951884,0,2,Q2
3858,0.00448369517687915,0,1,Q2
3869,0.00450041846390312,0,1,Q2
3870,0.00451714203060009,0,1,Q2
3871,0.00453386587697942,0,1,Q2
3872,0.00456731440882248,0,2,Q2
3895,0.00458403909430503,0,1,Q2
3933,0.00460076405950735,0,1,Q2
3944,0.00461748930443882,0,1,Q2
3951,0.00463421482910878,0,1,Q2
3955,0.00465094063352649,0,1,Q2
3969,0.00466766671770141,0,1,Q2
3970,0.0046843930816429,0,1,Q2
3973,0.00470111972536044,0,1,Q2
3979,0.00471784664886315,0,1,Q2
3980,0.00473457385216051,0,1,Q2
3994,0.00473457385216051,116.735748035292,0,Q2
4011,0.00475133406284582,0,1,Q2
4033,0.00476809455444051,0,1,Q2
4050,0.00478485532695398,0,1,Q2
4054,0.00480161638039566,0,1,Q2
4065,0.00481837771477495,0,1,Q2
4074,0.00483513933010118,0,1,Q2
4082,0.00485190122638397,0,1,Q2
4084,0.00486866340363264,0,1,Q2
4091,0.00488542586185661,0,1,Q2
4116,0.00490218860106529,0,1,Q2
4119,0.00491895162126811,0,1,Q2
4124,0.00493571492247449,0,1,Q2
4143,0.00495247850469384,0,1,Q2
4157,0.00496924236793559,0,1,Q2
4187,0.00498600651220917,0,1,Q2
4206,0.00500277093752399,0,1,Q2
4222,0.00501953564388948,0,1,Q2
4227,0.00503630063131505,0,1,Q2
4236,0.00506983144938407,0,2,Q2
4251,0.00508659728004647,0,1,Q2
4253,0.00510336339180666,0,1,Q2
4287,0.00512012978467407,0,1,Q2
4288,0.00513689645865801,0,1,Q2
4304,0.00515366341376813,0,1,Q2
4320,0.00515366341376813,97.6156865919497,0,Q2
4323,0.00515366341376813,59543.0054029118,0,Q2
69,2.12676998173039e-05,0,1,Q3
88,4.25358519591721e-05,0,1,Q3
116,6.38044564450675e-05,0,1,Q3
122,8.50735132941208e-05,0,1,Q3
124,0.000106343022525575,0,1,Q3
128,0.000127612984158675,0,1,Q3
133,0.000148883398212554,0,1,Q3
154,0.000170154264706682,0,1,Q3
169,0.000191425583660085,0,1,Q3
176,0.000212697355092234,0,1,Q3
254,0.000233969579022268,0,1,Q3
307,0.000255242255469439,0,1,Q3
313,0.000276515384452999,0,1,Q3
314,0.000297788965992204,0,1,Q3
325,0.000319063000106197,0,1,Q3
361,0.000340337486814347,0,1,Q3
362,0.000361612426136021,0,1,Q3
375,0.000382887818090368,0,1,Q3
378,0.000404163662696537,0,1,Q3
384,0.000425439959973901,0,1,Q3
389,0.000446716709941833,0,1,Q3
400,0.000467993912619487,0,1,Q3
413,0.000510549676180909,0,2,Q3
420,0.000531828237103212,0,1,Q3
422,0.000553107250812305,0,1,Q3
433,0.000574386717327568,0,1,Q3
477,0.000595666636668052,0,1,Q3
482,0.00061694700885325,0,1,Q3
488,0.000638227833902214,0,1,Q3
489,0.000659509111834331,0,1,Q3
506,0.000680790842668988,0,1,Q3
510,0.00070207302642524,0,1,Q3
524,0.000723355663122588,0,1,Q3
531,0.000744638752780202,0,1,Q3
556,0.000765922295417361,0,1,Q3
570,0.000787206291053349,0,1,Q3
579,0.000808490739707338,0,1,Q3
583,0.000829775641398836,0,1,Q3
623,0.000851060996146905,0,1,Q3
644,0.000872346803970945,0,1,Q3
650,0.000893633064890356,0,1,Q3
690,0.000914919778924316,0,1,Q3
692,0.000936206946092116,0,1,Q3
710,0.000957494566412937,0,1,Q3
712,0.000978782639906295,0,1,Q3
720,0.00100007116659137,0,1,Q3
727,0.00102136014648747,0,1,Q3
731,0.00102136014648747,149.113844510444,0,Q3
749,0.00104271737920034,0,1,Q3
779,0.00106407506805435,0,1,Q3
792,0.00108543321306897,0,1,Q3
796,0.00110679181426358,0,1,Q3
818,0.00112815087165789,0,1,Q3
829,0.00114951038527128,0,1,Q3
830,0.00119223078123324,0,2,Q3
861,0.0012135916636208,0,1,Q3
864,0.00123495300230541,0,1,Q3
878,0.00125631479730655,0,1,Q3
905,0.00127767704864362,0,1,Q3
910,0.00129903975633633,0,1,Q3
920,0.00132040292040407,0,1,Q3
931,0.00134176654086633,0,1,Q3
932,0.00136313061774263,0,1,Q3
946,0.00138449515105246,0,1,Q3
957,0.00140586014081521,0,1,Q3
982,0.00142722558705061,0,1,Q3
1020,0.00144859148977806,0,1,Q3
1022,0.00146995784901696,0,1,Q3
1023,0.00149132466478702,0,1,Q3
1026,0.00153405966599827,0,2,Q3
1028,0.00155542785147858,0,1,Q3
1029,0.00157679649356789,0,1,Q3
1030,0.00159816559228593,0,1,Q3
1034,0.001619535147652,0,1,Q3
1041,0.00164090515968583,0,1,Q3
1074,0.00166227562840684,0,1,Q3
1087,0.00168364655383455,0,1,Q3
1095,0.00170501793598846,0,1,Q3
1096,0.00172638977488812,0,1,Q3
1103,0.00174776207055303,0,1,Q3
1106,0.00179050803225674,0,2,Q3
1143,0.00179050803225674,152.316778869077,0,Q3
1146,0.00181195150903076,0,1,Q3
1151,0.00183339544563733,0,1,Q3
1154,0.00185483984209618,0,1,Q3
1166,0.0018977300146495,0,2,Q3
1173,0.00191917579078353,0,1,Q3
1176,0.00194062202684873,0,1,Q3
1179,0.00196206872286473,0,1,Q3
1191,0.00198351587885137,0,1,Q3
1194,0.00200496349482837,0,1,Q3
1211,0.00202641157081547,0,1,Q3
1251,0.00204786010683251,0,1,Q3
1261,0.00206930910289911,0,1,Q3
1266,0.00209075855903502,0,1,Q3
1269,0.00213365885159357,0,2,Q3
1312,0.00215510968805569,0,1,Q3
1320,0.00217656098466617,0,1,Q3
1323,0.00219801274144455,0,1,Q3
1343,0.00221946495841066,0,1,Q3
1344,0.00224091763558437,0,1,Q3
1351,0.0022623707729852,0,1,Q3
1360,0.00228382437063312,0,1,Q3
1390,0.00230527842854777,0,1,Q3
1399,0.00232673294674889,0,1,Q3
1403,0.00234818792525624,0,1,Q3
1413,0.00236964336408957,0,1,Q3
1414,0.00239109926326852,0,1,Q3
1422,0.00241255562281296,0,1,Q3
1428,0.00243401244274275,0,1,Q3
1430,0.00243401244274275,154.426487335876,0,Q3
1444,0.00245554105970913,0,1,Q3
1452,0.00247707014016684,0,1,Q3
1459,0.00249859968413583,0,1,Q3
1463,0.00252012969163596,0,1,Q3
1470,0.00256319109730989,0,2,Q3
1477,0.00258472249552363,0,1,Q3
1479,0.00260625435734845,0,1,Q3
1491,0.00264931947191123,0,2,Q3
1492,0.00267085272468913,0,1,Q3
1519,0.00269238644115798,0,1,Q3
1521,0.00271392062133776,0,1,Q3
1522,0.00273545526524845,0,1,Q3
1531,0.00275699037291001,0,1,Q3
1544,0.00277852594434242,0,1,Q3
1564,0.00280006197956566,0,1,Q3
1568,0.0028215984785997,0,1,Q3
1572,0.00284313544146451,0,1,Q3
1578,0.00286467286818009,0,1,Q3
1579,0.00288621075876641,0,1,Q3
1581,0.00290774911324345,0,1,Q3
1583,0.00292928793163119,0,1,Q3
1585,0.00295082721394962,0,1,Q3
1590,0.00297236696021873,0,1,Q3
1616,0.0029939071704584,0,1,Q3
1619,0.00303698898292978,0,2,Q3
1621,0.00305853058520148,0,1,Q3
1628,0.0030800726515238,0,1,Q3
1647,0.00310161518191674,0,1,Q3
1669,0.0031231581764003,0,1,Q3
