time,hazard,n_censor,n_event,group
9485,0.0187389209273958,1,0,Q1
9511,0.0187389209273958,2,0,Q1
9584,0.0187389209273958,1,0,Q1
9738,0.0187389209273958,1,0,Q1
9806,0.0187389209273958,1,0,Q1
9901,0.0187389209273958,786,0,Q1
0,0.00108991836402557,0,1,Q2
888,0.00218102594636011,0,1,Q2
1085,0.00218102594636011,1,0,Q2
1167,0.00218102594636011,1,0,Q2
1277,0.00218102594636011,1,0,Q2
1339,0.00327691646699717,0,1,Q2
1340,0.00437400928137023,0,1,Q2
1348,0.0054723070304328,0,1,Q2
1376,0.00657181236384968,0,1,Q2
1378,0.0076725279400352,0,1,Q2
1483,0.0076725279400352,1,0,Q2
1550,0.00877567201219257,0,1,Q2
1581,0.00877567201219257,1,0,Q2
1654,0.00877567201219257,1,0,Q2
1738,0.00877567201219257,1,0,Q2
1752,0.00877567201219257,1,0,Q2
1766,0.00988493446647834,0,1,Q2
2098,0.00988493446647834,1,0,Q2
2179,0.00988493446647834,1,0,Q2
2286,0.00988493446647834,1,0,Q2
2308,0.00988493446647834,1,0,Q2
2348,0.00988493446647834,1,0,Q2
2367,0.00988493446647834,1,0,Q2
2481,0.00988493446647834,1,0,Q2
2516,0.00988493446647834,1,0,Q2
2602,0.00988493446647834,1,0,Q2
2607,0.00988493446647834,1,0,Q2
2615,0.00988493446647834,1,0,Q2
2683,0.0110091616787593,0,1,Q2
2808,0.0121346542004938,0,1,Q2
2824,0.0132614148830844,0,1,Q2
2838,0.0143894465875828,0,1,Q2
2901,0.0143894465875828,1,0,Q2
2949,0.0143894465875828,1,0,Q2
2950,0.0143894465875828,1,0,Q2
3003,0.0143894465875828,1,0,Q2
3023,0.0143894465875828,1,0,Q2
3057,0.0143894465875828,1,0,Q2
3086,0.015526456374658,0,1,Q2
3147,0.015526456374658,1,0,Q2
3148,0.015526456374658,1,0,Q2
3180,0.015526456374658,1,0,Q2
3189,0.015526456374658,1,0,Q2
3279,0.015526456374658,1,0,Q2
3303,0.015526456374658,1,0,Q2
3338,0.015526456374658,1,0,Q2
3403,0.015526456374658,1,0,Q2
3417,0.015526456374658,1,0,Q2
3481,0.015526456374658,1,0,Q2
3489,0.015526456374658,1,0,Q2
3491,0.015526456374658,1,0,Q2
3507,0.015526456374658,1,0,Q2
3528,0.015526456374658,1,0,Q2
3601,0.015526456374658,1,0,Q2
3714,0.015526456374658,1,0,Q2
3804,0.0166858767943928,0,1,Q2
3822,0.0166858767943928,1,0,Q2
4045,0.0166858767943928,1,0,Q2
4073,0.0166858767943928,1,0,Q2
4076,0.0166858767943928,1,0,Q2
4088,0.0166858767943928,1,0,Q2
4146,0.0166858767943928,1,0,Q2
4176,0.0178547839993747,0,1,Q2
4207,0.0178547839993747,1,0,Q2
4214,0.0178547839993747,1,0,Q2
4317,0.0178547839993747,1,0,Q2
4346,0.0178547839993747,1,0,Q2
4359,0.0178547839993747,1,0,Q2
4392,0.0190319471723895,0,1,Q2
4442,0.0190319471723895,1,0,Q2
4445,0.0190319471723895,1,0,Q2
4487,0.0190319471723895,1,0,Q2
4491,0.0202146794214389,0,1,Q2
4509,0.0213988121826556,0,1,Q2
4699,0.0213988121826556,1,0,Q2
4710,0.0213988121826556,1,0,Q2
4797,0.0213988121826556,1,0,Q2
4876,0.0213988121826556,1,0,Q2
4880,0.0225899975528087,0,1,Q2
4910,0.0225899975528087,1,0,Q2
4928,0.0225899975528087,1,0,Q2
4994,0.0237854549575824,0,1,Q2
4997,0.0249823431914286,0,1,Q2
4998,0.0261806656835373,0,1,Q2
5001,0.0261806656835373,1,0,Q2
5009,0.0261806656835373,1,0,Q2
5035,0.0261806656835373,1,0,Q2
5043,0.0261806656835373,1,0,Q2
5133,0.0261806656835373,1,0,Q2
5170,0.0261806656835373,1,0,Q2
5193,0.0261806656835373,1,0,Q2
5203,0.0261806656835373,1,0,Q2
5210,0.0261806656835373,1,0,Q2
5229,0.0261806656835373,1,0,Q2
5257,0.0261806656835373,1,0,Q2
5270,0.0261806656835373,1,0,Q2
5276,0.0286167204814184,0,2,Q2
5283,0.0286167204814184,1,0,Q2
5293,0.0286167204814184,1,0,Q2
5319,0.0286167204814184,1,0,Q2
5402,0.0286167204814184,1,0,Q2
5427,0.0286167204814184,1,0,Q2
5442,0.0286167204814184,1,0,Q2
5488,0.0298459769361481,0,1,Q2
5549,0.0298459769361481,1,0,Q2
5633,0.0298459769361481,1,0,Q2
5677,0.0298459769361481,1,0,Q2
5715,0.0310813075441408,0,1,Q2
5725,0.0310813075441408,1,0,Q2
5830,0.0310813075441408,1,0,Q2
5844,0.0310813075441408,2,0,Q2
5899,0.0310813075441408,1,0,Q2
5958,0.0323258627763456,0,1,Q2
6012,0.0323258627763456,1,0,Q2
6043,0.0323258627763456,1,0,Q2
6070,0.0323258627763456,1,0,Q2
6073,0.0323258627763456,1,0,Q2
6104,0.0323258627763456,1,0,Q2
6110,0.0323258627763456,1,0,Q2
6139,0.0323258627763456,1,0,Q2
6140,0.0323258627763456,1,0,Q2
6182,0.0323258627763456,1,0,Q2
6238,0.0323258627763456,1,0,Q2
6305,0.0323258627763456,1,0,Q2
6341,0.0323258627763456,1,0,Q2
6429,0.0323258627763456,1,0,Q2
6489,0.0323258627763456,1,0,Q2
6511,0.0323258627763456,1,0,Q2
6570,0.0323258627763456,1,0,Q2
6580,0.0323258627763456,1,0,Q2
6599,0.0323258627763456,1,0,Q2
6645,0.0323258627763456,1,0,Q2
6763,0.0323258627763456,1,0,Q2
6779,0.0323258627763456,1,0,Q2
6781,0.0323258627763456,1,0,Q2
6793,0.0323258627763456,1,0,Q2
6810,0.0323258627763456,1,0,Q2
6871,0.0323258627763456,1,0,Q2
6913,0.0323258627763456,1,0,Q2
6968,0.0323258627763456,1,0,Q2
7005,0.0336153536062174,0,1,Q2
7026,0.0336153536062174,1,0,Q2
7028,0.0336153536062174,1,0,Q2
7032,0.0336153536062174,1,0,Q2
7061,0.0336153536062174,1,0,Q2
7071,0.0336153536062174,1,0,Q2
7075,0.0336153536062174,1,0,Q2
7211,0.0336153536062174,1,0,Q2
7247,0.0336153536062174,1,0,Q2
7254,0.0336153536062174,1,0,Q2
7255,0.0336153536062174,1,0,Q2
7261,0.0336153536062174,1,0,Q2
7263,0.0336153536062174,1,0,Q2
7268,0.0336153536062174,1,0,Q2
7312,0.0336153536062174,1,0,Q2
7332,0.0336153536062174,1,0,Q2
7348,0.0336153536062174,1,0,Q2
7364,0.0336153536062174,1,0,Q2
7375,0.0336153536062174,2,0,Q2
7376,0.0336153536062174,1,0,Q2
7441,0.0336153536062174,1,0,Q2
7467,0.0349424938142799,0,1,Q2
7509,0.0349424938142799,1,0,Q2
7512,0.0349424938142799,1,0,Q2
7526,0.0349424938142799,1,0,Q2
7528,0.0349424938142799,1,0,Q2
7616,0.0349424938142799,1,0,Q2
7625,0.0349424938142799,1,0,Q2
7647,0.0349424938142799,1,0,Q2
7701,0.0349424938142799,1,0,Q2
7723,0.0349424938142799,1,0,Q2
7747,0.0362874839296126,0,1,Q2
7765,0.0362874839296126,1,0,Q2
7772,0.0362874839296126,1,0,Q2
7800,0.0362874839296126,1,0,Q2
7809,0.0362874839296126,1,0,Q2
7865,0.0362874839296126,1,0,Q2
7898,0.0362874839296126,1,0,Q2
7924,0.0362874839296126,1,0,Q2
7938,0.0362874839296126,1,0,Q2
8014,0.0376489545279336,0,1,Q2
8026,0.0376489545279336,1,0,Q2
8106,0.0376489545279336,1,0,Q2
8113,0.0376489545279336,1,0,Q2
8114,0.0376489545279336,1,0,Q2
8115,0.0376489545279336,1,0,Q2
8125,0.0376489545279336,1,0,Q2
8169,0.0376489545279336,1,0,Q2
8212,0.0376489545279336,1,0,Q2
8222,0.0376489545279336,1,0,Q2
8235,0.0376489545279336,1,0,Q2
8304,0.0376489545279336,1,0,Q2
8347,0.0376489545279336,1,0,Q2
8361,0.0376489545279336,1,0,Q2
8434,0.0376489545279336,1,0,Q2
8439,0.0376489545279336,1,0,Q2
8448,0.0376489545279336,1,0,Q2
8470,0.0376489545279336,1,0,Q2
8476,0.0376489545279336,1,0,Q2
8507,0.0376489545279336,1,0,Q2
8516,0.0376489545279336,1,0,Q2
8531,0.0376489545279336,1,0,Q2
8534,0.0376489545279336,1,0,Q2
8617,0.0376489545279336,1,0,Q2
8618,0.0376489545279336,1,0,Q2
8675,0.0376489545279336,1,0,Q2
8678,0.0376489545279336,1,0,Q2
8683,0.0376489545279336,1,0,Q2
8771,0.0376489545279336,1,0,Q2
8772,0.0376489545279336,1,0,Q2
8792,0.0376489545279336,1,0,Q2
8824,0.0376489545279336,1,0,Q2
8877,0.0376489545279336,1,0,Q2
8916,0.0376489545279336,1,0,Q2
8934,0.0376489545279336,1,0,Q2
8966,0.0376489545279336,1,0,Q2
9054,0.0390805939993713,0,1,Q2
9087,0.0390805939993713,1,0,Q2
9124,0.0390805939993713,1,0,Q2
9131,0.0390805939993713,1,0,Q2
9221,0.0390805939993713,1,0,Q2
9231,0.0390805939993713,1,0,Q2
9234,0.0390805939993713,1,0,Q2
9303,0.0390805939993713,1,0,Q2
9328,0.0405288201757362,0,1,Q2
9342,0.0405288201757362,1,0,Q2
9343,0.0405288201757362,1,0,Q2
9416,0.0405288201757362,1,0,Q2
9499,0.0405288201757362,1,0,Q2
9552,0.0405288201757362,1,0,Q2
9565,0.0405288201757362,1,0,Q2
